alphabet_id,archive_position,title,url,verification,note
AB001,1,X is for,https://lettersfortitles.com/x-is-for/,Alphabet Book tag archive and page inspected 2026-08-22,Middle chapter; Eolhx and X
AB002,2,S is for Saxon,https://lettersfortitles.com/s-is-for-saxon/,Alphabet Book tag archive inspected 2026-08-22,
AB003,3,L-a,https://lettersfortitles.com/l-a/,Alphabet Book tag archive inspected 2026-08-22,
AB004,4,P is for Poetry,https://lettersfortitles.com/p-is-for-poetry/,Alphabet Book tag archive inspected 2026-08-22,
AB005,5,T is for Thincso,https://lettersfortitles.com/t-is-for-thincsus/,Alphabet Book tag archive inspected 2026-08-22,Displayed title and canonical slug use different final vowels
AB006,6,Eo is for Eorl,https://lettersfortitles.com/eo-is-for-eorl/,Alphabet Book tag archive inspected 2026-08-22,
AB007,7,Y is for Year’s Mind,https://lettersfortitles.com/y-is-for-years-mind/,Alphabet Book tag archive inspected 2026-08-22,
AB008,8,Ge is for Prefix,https://lettersfortitles.com/ge-is-for-prefix/,Alphabet Book tag archive inspected 2026-08-22,
AB009,9,B is for Beginning,https://lettersfortitles.com/b-is-for-beginning/,Alphabet Book tag archive inspected 2026-08-22,
AB010,10,E is for ⁊,https://lettersfortitles.com/e-is-for-%E2%81%8A/,Alphabet Book tag archive inspected 2026-08-22,Tironian et preserved in title and URL
AB011,11,I is for Iceland Spar,https://lettersfortitles.com/i-is-for-iceland-spar/,Alphabet Book tag archive inspected 2026-08-22,
AB012,12,M is for Mortality,https://lettersfortitles.com/m-is-for-mortality/,Alphabet Book tag archive inspected 2026-08-22,
AB013,13,N is for ‘N,https://lettersfortitles.com/n-is-for-n/,Alphabet Book tag archive inspected 2026-08-22,
AB014,14,L is for Letters for Titles,https://lettersfortitles.com/l-is-for-letters-for-titles/,Alphabet Book tag archive inspected 2026-08-22,Site self-definition
AB015,15,H is for Hwat is it,https://lettersfortitles.com/h-is-for-hwat-is-it/,Alphabet Book tag archive inspected 2026-08-22,
AB016,16,H is for Hægl,https://lettersfortitles.com/h-is-for-haegl/,Alphabet Book tag archive inspected 2026-08-22,
AB017,17,Ing is for Nerþus,https://lettersfortitles.com/ing-is-for-nerthus/,Alphabet Book tag archive inspected 2026-08-22,
AB018,18,W is for Ƿ,https://lettersfortitles.com/w-is-for-%C6%BF/,Alphabet Book tag archive inspected 2026-08-22,ƿyn gate page
AB019,19,Ing is for Scylding,https://lettersfortitles.com/ing-is-for-scylding/,Alphabet Book tag archive inspected 2026-08-22,Also present in Translation archive
AB020,20,Turn,https://lettersfortitles.com/turn/,Alphabet Book tag archive inspected 2026-08-22,Fixed orientation page also participates in this tag
AB021,21,Œ is for Œdipean Riddle,https://lettersfortitles.com/oe-is-for-oedipean-riddle/,Alphabet Book tag archive inspected 2026-08-22,
AB022,22,G is for Go,https://lettersfortitles.com/g-is-for-go/,Alphabet Book tag archive inspected 2026-08-22,
AB023,23,D is for Dark,https://lettersfortitles.com/d-is-for-dark/,Alphabet Book tag archive inspected 2026-08-22,
AB024,24,C is for Computer,https://lettersfortitles.com/c-is-for-computer/,Alphabet Book tag archive inspected 2026-08-22,
AB025,25,R is for Riddle,https://lettersfortitles.com/r-is-for-riddle/,Alphabet Book tag archive inspected 2026-08-22,
AB026,26,A is for Golem Aleph,https://lettersfortitles.com/a-is-for-golem-aleph/,Alphabet Book tag archive inspected 2026-08-22,
AB027,27,Æ is for George William Russell,https://lettersfortitles.com/ae-is-for-george-william-russell/,Alphabet Book tag archive inspected 2026-08-22,
AB028,28,O is for Apostrophe,https://lettersfortitles.com/o-is-for-apostrophe/,Alphabet Book tag archive inspected 2026-08-22,
AB029,29,UI is for User Interface,https://lettersfortitles.com/ui-is-for-user-interface/,Alphabet Book tag archive inspected 2026-08-22,
AB030,30,Th is for Ye,https://lettersfortitles.com/th-is-for-ye/,Alphabet Book tag archive inspected 2026-08-22,
AB031,31,U is for Expnged,https://lettersfortitles.com/u-is-for-expnged/,Alphabet Book tag archive inspected 2026-08-22,Displayed omission preserved
AB032,32,IO is for I/O,https://lettersfortitles.com/io-is-for-i-o/,Alphabet Book tag archive inspected 2026-08-22,
AB033,33,EA is for Death,https://lettersfortitles.com/ea-is-for-death/,Alphabet Book tag archive inspected 2026-08-22,
AB034,34,F is for Fee,https://lettersfortitles.com/f-is-for-fee/,Alphabet Book tag archive inspected 2026-08-22,
