id,question,status,blocking_condition,allowed_next_action,not_a_fix_because
OQ001,Can the complete 261-slot filename run be regenerated from Claude's 216-token harvest?,resolved_by_colocated_harvest,none; repository data/corpus.json and tools/cipher.py are available,Rerun tools/cipher.py from repository root; retain distinction between directly recovered and context-filled slots,The former missing-repository dependency is removed; this does not adjudicate Rune Code plates
OQ003,What is the exact site-wide publication chronology?,publication_dates_available,none for day-level chronology; imported harvest dates do not establish exact timestamps or revision history,Use harvest_publication_dates.csv for day-level chronology; retrieve authoritative timestamps only if a finer-grained question requires them,Publication and modification dates are separately preserved from WordPress metadata; do not substitute modification dates for publication
OQ004,Are Tonkin's historical philological manuscript and scientific claims externally warranted?,separate_source_audit,Large bibliography requires claim-by-claim adjudication,Undertake a scoped source audit by claim family,Attribution is already preserved and does not make the corpus internally defective
OQ005,Is Eolhx historically or philologically best understood through helix?,site_authored_hypothesis,Independent rune-name plant-name and manuscript comparison required,Review specialist scholarship in a dedicated pass,The corpus accurately records Tonkin's proposal without certifying it
OQ006,What is the complete speaker sequence and media source on X≠Y≠Z Divination?,blocked_page_retrieval,Available category text exposes X and part of Y but a bounded direct-page retry remained unavailable,Reopen only if the canonical page becomes directly retrievable,The compact record preserves available evidence without inventing Z's procedure
OQ007,Can exact source-byte hashes be obtained for all Rune Code carrier media?,17_named_carriers_authenticated_and_bundled,none for 17 named carriers; 14 numbered assets remain imported hash attestations,Verify bundled originals using 05_method/verify_rune_code_state.py,Byte authentication does not establish transcription correctness or pass independent key reconstruction
OQ027-P005,What evidence would resolve the remaining limit for Loop?,open_research_limit,29-cell candidate agrees with inherited table; direct independent reconstruction remains incomplete. Conditional continuation authorized; four assignments separately supported by authored grouping/stanza evidence. Gate 0 Outcome B is not asserted.,A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P161,What evidence would resolve the remaining limit for Œ is for Œdipean Riddle?,open_research_limit,Bottom-left 2.4 replaces both inherited 4.3 assignments. Color control favors top-row second 2.1; direction is unmarked. No unique traversal is established.,A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P209,What evidence would resolve the remaining limit for Shh?,open_research_limit,"Six local bough counts are supported; no unique start or direction. These are two candidate traversals, not an exhaustive permutation set.",A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P125,What evidence would resolve the remaining limit for Soon After it Becomes Water?,open_research_limit,First-line segmentation unresolved: 2.8 4.2 or 2.8 2.1 2.1. Same countable pieces; no marked right-field boundary. Neither validates seed SO or harvest total unrecoverability; no vanished cubes are inferred.,A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P055,What evidence would resolve the remaining limit for It Never Deceives?,open_research_limit,"Eight groups, 4+4. Repeated upper-fan/lower-object rule favors final 3.1; weaker shape-class alternative 2.2 gives GUARDIAN. Grammar does not select the count; intended meaning remains unknown.",A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P109,What evidence would resolve the remaining limit for You Knew it Beforehand?,open_research_limit,"Medium confidence. Skull rule counts whole bones/hair strands, replacing the smiling-face lash rule; 3.8/3.3/4.1/1.3 gives DEATH. This inferred feature rule is explicit; no claim of unique authorial intention. P and S retain conditional key provenance.",A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
OQ027-P261,What evidence would resolve the remaining limit for Octave?,open_research_limit,Classification only: Rune Code inscription present; untranscribed. Page also explains the key. Transcription requires a later bounded pass.,A later bounded source or feature review; preserve the current alternatives until distinguishing evidence is found,Explicit research uncertainty is not a packaging defect and must not be replaced by semantic completion
