"link_type","target_title","target_url","observation_status"
"previous","Æ is for George William Russell","https://lettersfortitles.com/ae-is-for-george-william-russell/","observed directly on live page 2026-08-27"
"next","Translating Os","https://lettersfortitles.com/translating-os/","observed directly on live page 2026-08-27"
"internal","Shh","https://lettersfortitles.com/shh/","observed directly in body"
"internal","Rune Casting: Os / Listen","https://lettersfortitles.com/rune-casting-os/","observed directly in body"
"internal","X≠Y≠Z: Letter / tetrahedron","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-letter/","observed directly in body"
"internal","X≠Y≠Z: Three Body Problem / circumference","https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z-three-body-problem/","observed directly in body"
"internal","How to Summon an Angel","https://lettersfortitles.com/how-to-summon-an-angel/","observed directly in body"
"internal","How to Do Archery","https://lettersfortitles.com/how-to-do-archery/","observed directly in body"
"internal","They'll Cut You","https://lettersfortitles.com/they-cut/","observed directly in body"
"internal","The Middle","https://lettersfortitles.com/the-middle/","observed directly in body"
"internal","How to Move a Cow","https://lettersfortitles.com/how-to-move-a-cow/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
