id,title,url,role_or_stream,verification,status_note,supersedes,superseded_by
P000,Home / The Middle,https://lettersfortitles.com/,entry and current archive,direct live capture 2026-08-29,Mutable homepage currently presents The Middle; compact capture complete,,
P001,The Middle,https://lettersfortitles.com/the-middle/,orientation and structural disclosure,direct live capture and Twist archive cross-check 2026-08-29,Terminal page of complete ten-page Middle path,,
P002,Stanza 15: Helix,https://lettersfortitles.com/stanza-15-helix/,rune stanza / middle,capture record and complete Middle path verified 2026-08-29,Middle position 9; previous Translating Eolhx and next The Middle,,
P003,Translating Eolhx,https://lettersfortitles.com/translating-helix/,translation / middle,site page retrieved 2026-08-22,Slug says helix while title says Eolhx,,
P004,How to See the Pair in the Middle,https://lettersfortitles.com/how-to-see-the-pair-in-the-middle/,instruction manual / middle,site page retrieved 2026-08-22,Explains 29-rune pairing and solitary middle,,
P005,Loop,https://lettersfortitles.com/loop/,code / recursive form / Rune Code key,direct live capture 2026-08-29 and full-resolution inspection 2026-08-30,Middle position 6; complete twenty-nine-rune group-place crib; no second plaintext route,,
P006,Twist,https://lettersfortitles.com/twist/,structural turn,direct live capture 2026-08-29,Middle position 5 and unpaired Duets eponym,,
P007,Fen,https://lettersfortitles.com/fen/,middle landscape,direct live capture 2026-08-29,Middle position 4; bridges X is for to Twist,,
P008,X is for,https://lettersfortitles.com/x-is-for/,alphabet book / X,site page retrieved 2026-08-22,Visible archive page,,
P009,Alphybettyformed Verbage,https://lettersfortitles.com/alphybettyformed-verbage/,orientation / declared non-beginning,direct live capture 2026-08-29,Fold instruction and outer orientation compact capture complete,,
P010,O Yes W,https://lettersfortitles.com/o-yes-w/,Old English Rune Poem and translation,direct live capture 2026-08-29,Primary poem page compact capture complete,,
P011,Turn,https://lettersfortitles.com/turn/,orientation / operation,direct live capture 2026-08-29,Slot-1 and cross-pair seam compact capture complete,,
P012,L is for Letters for Titles,https://lettersfortitles.com/l-is-for-letters-for-titles/,self-definition / alphabet book,search result retrieved 2026-08-22,Defines the work's forms and method,,P127
P013,Vern Tonkin,https://lettersfortitles.com/vern-tonkin/,author,direct live capture 2026-08-29,Author orientation compact capture complete,,
P014,Bibliography,https://lettersfortitles.com/bibliography/,sources,direct live capture 2026-08-29,Textual and image-source apparatus compact capture complete,,
P015,Rune Casting archive,https://lettersfortitles.com/tag/rune-casting/,divination index,archive membership verified; reconciliation refreshed 2026-08-29,Index surface registered; all thirty-one entry pages captured,,
P016,Alphabet Book archive,https://lettersfortitles.com/tag/alphabet-book/,alphabet index,archive membership verified; reconciliation refreshed 2026-08-29,Index surface registered; all thirty-four entry pages captured,,
P017,Stanzas archive,https://lettersfortitles.com/tag/stanzas/,rune stanza index,archive membership verified; reconciliation refreshed 2026-08-29,Index surface registered; all twenty-nine entry pages captured,,
P018,Twist category,https://lettersfortitles.com/category/twist/,middle chapter index,direct path and category archive cross-check 2026-08-29,Index surface registered; all ten entry pages captured in continuous path,,
