relation_id,source_a,source_b,relation_type,warrant,status,note
R001,Feoh,Ear,reflected rune pair,site-authored,established,first and last; wealth and grave/death
R002,Ur,Ior,reflected rune pair,site structure plus archive category,established,Moody Joy chapter
R003,Thorn,Yr,reflected rune pair,site structure plus archive category,established,They'll Cut You chapter
R004,Os,Æsc,reflected rune pair,site archive,established,Axis Mundi chapter
R005,Rad,Ac,reflected rune pair,site archive,established,By Land and By Sea chapter
R006,Cen,Dæg,reflected rune pair,site archive,established,Light chapter
R007,Gifu,Eþel,reflected rune pair,site archive,established,You Have Nothing Else chapter
R008,Wyn,Ing,reflected rune pair,site archive,established,Prosperity chapter
R009,Hægl,Lagu,reflected rune pair,site archive,established,The Water Cycle chapter
R010,Nyd,Mann,reflected rune pair,site archive,established,Fate chapter
R011,Is,Eh,reflected rune pair,site archive,established,War and Peace chapter
R012,Ger,Beorc,reflected rune pair,site archive,established,The Future chapter
R013,Eoh,Tiw,reflected rune pair,site archive,established,Trust chapter
R014,Peorþ,Sigel,reflected rune pair,site archive,established,Sitting to Battle chapter
R015,Eolhx,Eolhx,middle turn / possible internal pair,site-authored plus open question,partly established,solitary in the 29-rune fold; internal pairing not yet resolved
R016,publication forward,linking backward,temporal composition,site self-definition,established,mirror within a mirror
R017,lunar cycle,29-rune sequence,formal analogy,site-authored,established as authorial claim,historical demonstration remains to be assessed
R018,unicursal labyrinth,reflected rune traversal,formal analogy,site-authored,established as authorial claim,do not collapse into the lunar figure
R019,P,ƿyn,graphic/phonetic ambiguity,user gate plus site alphabet page,active,question mark remains part of the test
R020,Tit,les,title division / entry pun,user instruction,active,point of entry rather than total interpretation
R021,Hægl,Nyd,adjacent stanza anomaly,site commentary in Translating Nyd,established as site reading,both described as unusually short and fast despite different reflected partners
R022,Feoh,Mann,lexical echo across reflected pairs,site commentary in Life and Death,established as site reading,shared language binds Wealth and Human while their principal partners remain Ear and Nyd
R023,Mann + Lagu + Ing + Eþel,reflected pair matrix,tempo sequence across chapters,site commentary associated with Translating Eþel and I Sing This Wretched Song,established as site reading,four consecutive stanzas cross Fate Water Cycle Prosperity and You Have Nothing Else
R024,Peorþ stanza,central omission,missing word,site commentary in Translating Peorð,established textual condition,do not silently fill the hole
R025,Dæg glyph,thorn + reversed thorn in contact,local graphic mirror,site carving instruction,established as site-authored graphic construction,local mirrored pair within a single rune form
R026,retrieved Translation archive snapshot,Translating Ear page,inventory/state asymmetry,archive and page comparison,established for dated snapshot,page exists and carries Translation tag but is absent from the retrieved archive snapshot
R027,Translating Feoh,Rune Casting archive,cross-tag archive membership,live tag archive observation,established for dated snapshot,translation commentary appears among Rune Casting entries before the outer-pair dialogue
R028,Ear + Feoh,X≠Y≠Z: Rune Casting!,dialogic casting of reflected pair,site page and archive placement,established as site composition,preserve X Y and Z as different speakers
R029,Loop → middle instruction → translation → stanza → The Middle,Twist chapter,cross-stream navigation path,site previous-next links,established locally,do not infer identical paths for other chapters without testing
R030,Stanza 14 → Eolhx glyph → Eolhx casting → X is for → Fen,Twist chapter,cross-stream navigation path,site previous-next links,established locally,approach and exit cross rune stanza glyph divination alphabet and landscape
R031,Eolhx casting,backward-linking book,operative enactment,site command plus navigation evidence,strong working relation,turn and retrace the already traveled path from the other side
R032,Eolhx glyph,X,graphic phonetic and algebraic unknown relation,site-authored glyph and alphabet pages,established as site composition,retain multiplicity rather than reduce Eolhx to generic X
