chapter_from_outside,site_chapter_theme,rune_pair,structural_status,chapter_form,completion_release,next_role
1,Everything is Temporary,Feoh–Ear,complete,observed 2+2+15+2+2; final reflected-pair acquisition,0.17.0,completed direct-walk outer-pair test
2,Moody Joy,Ur–Ior,complete,observed 2+2+11+2+2; first paired-envelope falsification,0.16.0,completed direct-walk falsification
3,They'll Cut You,Thorn–Yr,complete,observed 2+2+9+2+2,0.15.0,completed direct-walk test
4,Axis Mundi,Os–Æsc,complete,observed 2+2+9+2+2,0.14.0,completed prospective test
5,By Land and By Sea,Rad–Ac,complete,observed 2+2+9+2+2,0.13.0,reviewed in 0.13.1
6,Light,Cen–Dæg,complete,observed 2+2+9+2+2,0.12.0,
7,You Have Nothing Else,Gifu–Eþel,complete,observed 2+2+9+2+2,0.11.0,
8,Prosperity,Wyn–Ing,complete,observed 2+2+9+2+2,0.10.0,
9,The Water Cycle,Hægl–Lagu,complete,observed 2+2+9+2+2,0.9.0,
10,Fate,Nyd–Mann,complete,observed 2+2+9+2+2,0.8.0,
11,War and Peace,Is–Eh,complete,observed 2+2+9+2+2,0.7.0,
12,The Future,Ger–Beorc,complete,observed 2+2+9+2+2,0.6.0,
13,Trust,Eoh–Tiw,complete,observed 2+2+9+2+2,0.5.0,
14,Sitting to Battle,Peorþ–Sigel,complete,observed 2+2+9+2+2,0.4.0,
15,Twist / Middle,Eolhx,complete structural exception,continuous ten-page category path rather than paired envelope,0.21.0,retain as unpaired and do not normalize into the fourteen-pair model
