claim_id,claim,claimant,evidence_location,evidence_class,current_assessment,next_check
C001,The Rune Poem contains 29 stanzas/runes in the operative sequence,site author,O Yes W and The Middle,primary-site textual claim,accepted for site map,compare full poem page with scholarly edition
C002,The sequence forms fourteen thematic opposing pairs around Eolhx,site author,The Middle and How to See the Pair in the Middle,primary-site structural claim,strongly supported internally,map every stanza and chapter page
C003,The 29-rune structure is lunar,site author,The Middle,primary-site interpretive claim,recorded not independently adjudicated,test sequence against lunar-day model and historical calendar evidence
C004,The structure is a unicursal labyrinth,site author,The Middle,primary-site interpretive claim,recorded as operative figure,trace exact traversal and compare with page links
C005,The book was written forward while linking backward,site author,L is for Letters for Titles,primary-site compositional claim,recorded,acquire dates and incoming/outgoing links
C006,The work includes instruction divination translation alphabet roman-a-clef code and riddles,site author,L is for Letters for Titles,primary-site self-definition,verified for corpus design,inventory each stream
C007,The Rune Poem responses function as divine answers in divination,site author,L is for Letters for Titles and Rune Casting archive,primary-site theological/operative claim,recorded without reduction,preserve voice and ritual address before comparison
C008,Eolhx is the only rune without an opposing pair,site author,How to See the Pair in the Middle,primary-site structural claim,verified within 29-item fold,investigate proposed pair(s) internal to Eolhx
C009,Meaning is hidden in arrangement,site author,The Middle,methodological claim,accepted as acquisition directive,compare topology with page-level content
C010,The discovered structure exhausts the work's significance,no claimant,user explicitly rejects this reduction,user constraint,rejected,retain excess unresolved material and transmission posture
C011,The Instruction Manual tag archive contains 34 entries in the retrieved public index,corpus observation,Instruction Manual tag archive,primary-site archive count,verified 2026-08-22,recheck if archive changes
C012,The retrieved Translation tag archive snapshot contains 33 entries including 28 direct rune commentaries and five auxiliary or cross-rune pages,corpus observation,Translation tag archive,primary-site archive count,verified 2026-08-22,recheck as a dated archive state
C013,Translating Ear exists and carries the Translation tag while being absent from the retrieved Translation archive snapshot,corpus observation,Everything is Temporary archive plus Translating Ear page plus Translation archive snapshot,primary-site state comparison,verified 2026-08-22,preserve the discrepancy and reacquire the archive later
C014,The reflected pair matrix is not exhaustive of page relations,site pages plus corpus observation,Life and Death Translating Nyd Translating Eþel Translating Peorð and Dæg glyph page,primary-site relational evidence,strongly supported,continue registering lexical graphic rhythmic and temporal crossings
C015,The Peorþ stanza has a missing word at its exact center,site author,Translating Peorð,primary-site textual claim,recorded,compare manuscript and editions
C016,The Dæg glyph is made as a thorn facing a reversed thorn while keeping contact,site author,Dæg glyph page,primary-site graphic instruction,recorded,capture image and full carving directions
C017,All 29 runes have a known direct translation commentary page,corpus observation,Translation register and canonical pages,primary-site inventory,verified 2026-08-22,capture each page record and its dated tag state
C018,The Stanzas tag archive contains exactly 29 direct rune stanza pages in the retrieved live state,corpus observation,Stanzas tag archive,primary-site archive count,verified 2026-08-22,recheck if archive changes
C019,The Runes tag archive contains exactly 29 glyph or rune-form pages in the retrieved live state,corpus observation,Runes tag archive,primary-site archive count,verified 2026-08-22,capture each carving instruction
C020,The Rune Casting tag archive contains 31 entries comprising 29 direct rune castings plus Translating Feoh and X≠Y≠Z Rune Casting,corpus observation,Rune Casting tag archive,primary-site archive count and role classification,verified 2026-08-22,preserve cross-tag states and X Y Z voices
C021,The Alphabet Book tag archive contains 34 entries and is not a one-page-per-modern-letter inventory,corpus observation,Alphabet Book tag archive,primary-site archive count,verified 2026-08-22,classify letters ligatures abbreviations gaps and crossings without normalization
C022,The Eolhx middle cluster forms two observed previous-next fragments across compositional streams,earlier corpus observation,How to See the Pair in the Middle Translating Eolhx Stanza 15 Eolhx glyph Rune Casting Eolhx X is for and neighboring pages,partial primary-site navigation,superseded by C218,Fen Twist and Loop join the fragments into the complete ten-page path
C023,The Eolhx casting instructs the reader to turn retrace the path and see it from the other side,site author,Rune Casting Eolhx,primary-site operative claim,recorded without reduction,compare command with backward-link navigation
C024,The Eolhx glyph is made through upward growth bilateral twining and antlering,site author,Eolhx glyph page,primary-site graphic instruction,recorded,compare all glyph-making verbs
C025,Eolhx may have been selected as the poem's X word in a Latin-influenced setting,site author,X is for,primary-site historical inference,recorded not independently adjudicated,compare rune-name and Old English lexical scholarship
C026,The Sitting to Battle chapter contains a continuous seventeen-page cross-stream category braid from the Sigel glyph through Stanza 14 The Game,corpus observation,previous-next links category order and seventeen captured pages,primary-site navigation,strongly supported locally,capture exact dates and media attribution
