archive_position,publication_order,page_id,title,url,chapter_from_outside,chapter,local_capture,series_function
1,16,P047,X≠Y≠Z: Settlers,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-settlers/,14,Sitting to Battle,yes,three voices return inside game and battle
2,15,P059,X≠Y≠Z: A Joy in the Home,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-a-joy-in-the-home/,13,Trust,yes,X and Y prepare dangerous acts in separate rooms
3,14,P075,X≠Y≠Z: Divination,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-divination/,12,The Future,yes,three mutually suspicious diviners seek the future
4,13,P092,X≠Y≠Z: Y,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-y/,11,War and Peace,yes,Y is banished after Z has already been exiled
5,12,P105,X≠Y≠Z: Letter,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-letter/,10,Fate,yes,X writes from need and separation
6,11,P122,X≠Y≠Z: (X+Y)-Z=(X-Y)÷Z,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-xy-z-y-x%C3%B7z/,9,The Water Cycle,yes,X and Y dispute dependence while Z is algebraically subtracted
7,10,P140,X≠Y≠Z: No Z,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-no-z/,8,Prosperity,yes,Z's expulsion is narrated and reputation managed
8,9,P159,X≠Y≠Z: Z's Lament,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-zs-lament/,7,You Have Nothing Else,yes,Z speaks the consequence of expulsion
9,8,P172,X≠Y≠Z: Contraries and Negations,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-contraries-and-negations/,6,Light,yes,Z witnesses and maintains tension between X and Y
10,7,P190,X≠Y≠Z: Are we there yet?,https://lettersfortitles.com/X%E2%89%A0Y%E2%89%A0Z-are-we-there-yet/,5,By Land and By Sea,yes,three voices dispute path destination and linearity
11,6,P207,X≠Y≠Z: How to Punch a Tree,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/,4,Axis Mundi,yes,three voices enter a made world and confront its missing middle
12,5,P225,X≠Y≠Z: Three Body Problem,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z-three-body-problem/,3,They'll Cut You,yes,triadic self-definition through linked unequal bodies
13,4,P247,X≠Y≠Z: What is that?,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-what-is-that/,2,Moody Joy,yes,observer and observed exchange places across a surface
14,3,P268,X is not Y and Neither is Z,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z/,1,Everything is Temporary,yes,alphabetic axiom and title-form declaration
15,2,P265,X≠Y≠Z: 1984,https://lettersfortitles.com/x-%E2%89%A0-y-%E2%89%A0-z-1984/,1,Everything is Temporary,yes,death memory privacy and invited observation
16,1,P260,X≠Y≠Z: Rune Casting!,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-death-and-cattle/,1,Everything is Temporary,yes,three voices misread the Ear-Feoh future together
