series_or_archive,live_entry_count,registered_entry_pages,captured_entry_pages,series_object_status,observed,note
Stanzas,29,29,29,complete register,2026-08-29,No change
Rune glyphs,29,29,29,complete register,2026-08-29,Not a single tag archive but complete in the rune-glyph register
Rune Casting,31,31,31,complete register with two crossings,2026-08-29,29 direct castings plus Translating Feoh and X≠Y≠Z Rune Casting
Instruction Manual,34,34,34,complete register,2026-08-29,Includes the middle instruction and the X≠Y≠Z crossing
Alphabet Book,34,34,34,complete register and page capture,2026-08-29,Turn capture closes the entry-page set
Translation archive,34,34,34,current archive snapshot registered,2026-08-29,ꝥ is now present; Translating Ear still carries the tag but remains absent from the archive
Known Translation-tag pages site-wide,35,35,35,complete page set,2026-08-29,29 direct rune commentaries plus six auxiliary or cross-rune pages
Duets,15,15,15,complete archive register and page capture,2026-08-29,All fourteen reflected-pair eponyms plus Twist
Twist / Middle category,10,10,10,complete archive register and continuous path,2026-08-29,Previously separated short paths are joined through Fen Twist and Loop
X≠Y≠Z,16,16,16,complete archive register and through-line map,2026-08-29,All pages were already captured but the series object was missing
Code,25,25,25,complete archive register and page capture,2026-08-29,Decode and Loop are captured
Rune Code,17,17,17,complete archive subset register page capture and carrier classification,2026-08-30,Fourteen ordered inscriptions one complete rebus and two key carriers; no untranscribed units remain
Riddles,6,6,6,complete secondary archive register,2026-08-29,Distinct from solved status
Mathematical Esoterica,9,9,9,complete secondary archive register,2026-08-29,Crosses instruction alphabet code and letter forms
Past,14,14,14,complete secondary archive register,2026-08-29,Byþ also occurs in Future
Future,6,6,6,complete secondary archive register,2026-08-29,Byþ also occurs in Past
Letter,4,4,4,complete secondary archive register,2026-08-29,Epistolary and letter-form crossing
